SECTOR;SEDE_NOMBRE;agrupado;indicador;Valores
No Oficial;CENTRO DE INTEGRACION EDUCATIVA DEL NORTE - C;A1;1;14
No Oficial;CENTRO DE INTEGRACION EDUCATIVA DEL NORTE - C;A1;2;22
No Oficial;CENTRO EDUCATIVO INTEGRAL COLSUBSIDIO CHICALA;A1;1;28
No Oficial;CENTRO EDUCATIVO INTEGRAL COLSUBSIDIO CHICALA;A1;2;38
No Oficial;CENTRO EDUCATIVO LOMBARDIA;A1;1;37
No Oficial;CENTRO EDUCATIVO LOMBARDIA;A1;2;33
No Oficial;CENTRO EDUCATIVO LOS ANDES;A1;1;14
No Oficial;CENTRO EDUCATIVO LOS ANDES;A1;2;13
No Oficial;CENTRO EDUCATIVO SAN LUIS GONZAGA FE Y ALEGRIA;A1;1;23
No Oficial;CENTRO EDUCATIVO SAN LUIS GONZAGA FE Y ALEGRIA;A1;2;17
No Oficial;CENTRO MARIA AUXILIADORA;A1;2;35
No Oficial;CHILDRENS VISION INTERNATIONAL INC - FUND COL;A1;1;2
No Oficial;CHILDRENS VISION INTERNATIONAL INC - FUND COL;A1;2;6
No Oficial;COL MARIA INMACULADA;A1;2;26
No Oficial;COLEGIO AGUSTINIANO CIUDAD SALITRE;A1;1;53
No Oficial;COLEGIO AGUSTINIANO CIUDAD SALITRE;A1;2;52
No Oficial;COLEGIO AGUSTINIANO TAGASTE;A1;1;22
No Oficial;COLEGIO AGUSTINIANO TAGASTE;A1;2;18
No Oficial;COLEGIO ALAFAS DEL NORTE;A1;1;37
No Oficial;COLEGIO ALAFAS DEL NORTE;A1;2;23
No Oficial;COLEGIO ANTONIO NARINO HH. CORAZONISTAS;A1;1;21
No Oficial;COLEGIO ANTONIO NARINO HH. CORAZONISTAS;A1;2;18
No Oficial;COLEGIO BENPOSTA NACION DE MUCHACHOS;A1;1;9
No Oficial;COLEGIO BENPOSTA NACION DE MUCHACHOS;A1;2;5
No Oficial;COLEGIO BILINGE NUEVA ALEJANDRIA;A1;1;4
No Oficial;COLEGIO BILINGE NUEVA ALEJANDRIA;A1;2;8
No Oficial;COLEGIO BILINGUE SAN JUAN DE AVILA;A1;1;15
No Oficial;COLEGIO BILINGUE SAN JUAN DE AVILA;A1;2;10
No Oficial;COLEGIO CAFAM;A1;1;60
No Oficial;COLEGIO CAFAM;A1;2;51
No Oficial;COLEGIO CAMPESTRE MAXIMINO POITIERS;A1;1;28
No Oficial;COLEGIO CAMPESTRE MAXIMINO POITIERS;A1;2;24
No Oficial;COLEGIO CARLOS V;A1;1;16
No Oficial;COLEGIO CARLOS V;A1;2;6
No Oficial;COLEGIO CIUDAD DE CALI;A1;1;32
No Oficial;COLEGIO CIUDAD DE CALI;A1;2;36
No Oficial;COLEGIO CLARETIANO;A1;1;69
No Oficial;COLEGIO CLARETIANO;A1;2;52
No Oficial;COLEGIO CLAUSTRO MODERNO;A1;1;33
No Oficial;COLEGIO CLAUSTRO MODERNO;A1;2;22
No Oficial;COLEGIO COFRATERNIDAD DE SAN FERNANDO;A1;1;11
No Oficial;COLEGIO COFRATERNIDAD DE SAN FERNANDO;A1;2;21
No Oficial;COLEGIO COLOMBO BOLIVIANO;A1;1;9
No Oficial;COLEGIO COLOMBO BOLIVIANO;A1;2;10
No Oficial;COLEGIO COLOMBO INTERNACIONAL ACOINPREV;A1;1;12
No Oficial;COLEGIO COLOMBO INTERNACIONAL ACOINPREV;A1;2;17
No Oficial;COLEGIO COLOMBO JAPONES;A1;1;9
No Oficial;COLEGIO COLOMBO JAPONES;A1;2;6
No Oficial;COLEGIO COLSUBSIDIO CIUDADELA;A1;1;11
No Oficial;COLEGIO COLSUBSIDIO CIUDADELA;A1;2;5
No Oficial;COLEGIO COLSUBSIDIO NORTE;A1;1;20
No Oficial;COLEGIO COLSUBSIDIO NORTE;A1;2;15
No Oficial;COLEGIO COOPERATIVO DE LOS ALAMOS;A1;1;12
No Oficial;COLEGIO COOPERATIVO DE LOS ALAMOS;A1;2;23
No Oficial;COLEGIO COOPERATIVO DEL MAGISTERIO DE CUNDINA;A1;1;10
No Oficial;COLEGIO COOPERATIVO DEL MAGISTERIO DE CUNDINA;A1;2;10
No Oficial;COLEGIO COOPERATIVO NUEVO MUZU;A1;1;20
No Oficial;COLEGIO COOPERATIVO NUEVO MUZU;A1;2;25
No Oficial;COLEGIO COOPERATIVO VENECIA;A1;1;19
No Oficial;COLEGIO COOPERATIVO VENECIA;A1;2;21
No Oficial;COLEGIO DE EDUCACION TECNICA Y ACADEMICA CELE;A1;1;65
No Oficial;COLEGIO DE EDUCACION TECNICA Y ACADEMICA CELE;A1;2;80
No Oficial;COLEGIO DE FORMACION INTEGRAL MUNDO NUEVO;A1;1;6
No Oficial;COLEGIO DE FORMACION INTEGRAL MUNDO NUEVO;A1;2;18
No Oficial;COLEGIO DE FORMACION INTEGRAL VIRGEN DE LA PE;A1;1;17
No Oficial;COLEGIO DE FORMACION INTEGRAL VIRGEN DE LA PE;A1;2;11
No Oficial;COLEGIO DE LA PRESENTACION LUNA PARK;A1;2;62
No Oficial;COLEGIO DE LA UNIVERSIDAD LIBRE;A1;1;45
No Oficial;COLEGIO DE LA UNIVERSIDAD LIBRE;A1;2;23
No Oficial;COLEGIO DE LOS ANGELES;A1;2;12
No Oficial;COLEGIO DE NUESTRA SEORA DEL PILAR CHAPINERO;A1;2;27
No Oficial;COLEGIO DE NUESTRA SEORA DEL PILAR SUR;A1;2;40
No Oficial;COLEGIO DEL ROSARIO CAMPESTRE;A1;2;18
No Oficial;COLEGIO EL ESCORIAL;A1;1;15
No Oficial;COLEGIO EL ESCORIAL;A1;2;13
No Oficial;COLEGIO EL MINUTO DE DIOS;A1;1;79
No Oficial;COLEGIO EL MINUTO DE DIOS;A1;2;72
No Oficial;COLEGIO EL MINUTO DE DIOS SIGLO XXI;A1;1;17
No Oficial;COLEGIO EL MINUTO DE DIOS SIGLO XXI;A1;2;21
No Oficial;COLEGIO ESCLAVAS SAGRADO CORAZON DE JESUS;A1;2;32
No Oficial;COLEGIO EXTERNADO SAGRADO CORAZON;A1;1;20
No Oficial;COLEGIO EXTERNADO SAGRADO CORAZON;A1;2;9
No Oficial;COLEGIO FERVAN;A1;1;25
No Oficial;COLEGIO FERVAN;A1;2;14
No Oficial;COLEGIO FUNDACION COLOMBIA;A1;1;13
No Oficial;COLEGIO FUNDACION COLOMBIA;A1;2;14
No Oficial;COLEGIO GEORGE WASHINGTON SCHOOL;A1;1;36
No Oficial;COLEGIO GEORGE WASHINGTON SCHOOL;A1;2;38
No Oficial;COLEGIO GEORGE WILLIAMS;A1;1;9
No Oficial;COLEGIO GEORGE WILLIAMS;A1;2;11
No Oficial;COLEGIO GIMNASIO CACERES E U;A1;1;53
No Oficial;COLEGIO GIMNASIO CACERES E U;A1;2;37
No Oficial;COLEGIO GIMNASIO ROMANO MIXTO;A1;1;2
No Oficial;COLEGIO GIMNASIO ROMANO MIXTO;A1;2;5
No Oficial;COLEGIO GIOVANNI PASCOLI;A1;1;14
No Oficial;COLEGIO GIOVANNI PASCOLI;A1;2;10
No Oficial;COLEGIO GUSTAVO ROJAS PINILLA;A1;1;6
No Oficial;COLEGIO HENRY WALLON;A1;1;4
No Oficial;COLEGIO HENRY WALLON;A1;2;5
No Oficial;COLEGIO HERMANOS BELTRAN;A1;1;9
No Oficial;COLEGIO HERMANOS BELTRAN;A1;2;12
No Oficial;COLEGIO HOGAR DE NAZARETH;A1;1;31
No Oficial;COLEGIO HOGAR DE NAZARETH;A1;2;40
No Oficial;COLEGIO INGLATERRA REAL DE CHAPINERO;A1;1;13
No Oficial;COLEGIO INGLATERRA REAL DE CHAPINERO;A1;2;9
No Oficial;COLEGIO INTERAMERICANO;A1;1;7
No Oficial;COLEGIO INTERAMERICANO;A1;2;8
No Oficial;COLEGIO JAIME QUIJANO CABALLERO;A1;1;14
No Oficial;COLEGIO JAIME QUIJANO CABALLERO;A1;2;12
No Oficial;COLEGIO JONATHAN SWIFT;A1;1;13
No Oficial;COLEGIO JONATHAN SWIFT;A1;2;13
No Oficial;COLEGIO JOSE ALLAMANO;A1;1;33
No Oficial;COLEGIO JOSE ALLAMANO;A1;2;20
No Oficial;COLEGIO JOSE JOAQUIN VARGAS;A1;1;17
No Oficial;COLEGIO JOSE JOAQUIN VARGAS;A1;2;14
No Oficial;COLEGIO JOSE MANUEL MARROQUIN;A1;1;16
No Oficial;COLEGIO JOSE MANUEL MARROQUIN;A1;2;8
No Oficial;COLEGIO LA NUEVA ESTANCIA;A1;1;37
No Oficial;COLEGIO LA NUEVA ESTANCIA;A1;2;22
No Oficial;COLEGIO LORENZO DE ALCANTUZ;A1;1;20
No Oficial;COLEGIO LORENZO DE ALCANTUZ;A1;2;22
No Oficial;COLEGIO LUIS MARIANO;A1;1;54
No Oficial;COLEGIO LUIS MARIANO;A1;2;51
No Oficial;COLEGIO LUTERANO SAN LUCAS;A1;1;22
No Oficial;COLEGIO LUTERANO SAN LUCAS;A1;2;12
No Oficial;COLEGIO MANDALAY;A1;1;11
No Oficial;COLEGIO MANDALAY;A1;2;14
No Oficial;COLEGIO MARILLAC;A1;2;43
No Oficial;COLEGIO MAYOR PRIMEROS MAESTROS;A1;1;8
No Oficial;COLEGIO MAYOR PRIMEROS MAESTROS;A1;2;10
No Oficial;COLEGIO MIGUEL ANGEL ASTURIAS;A1;1;16
No Oficial;COLEGIO MIGUEL ANGEL ASTURIAS;A1;2;15
No Oficial;COLEGIO MILITAR SIMON BOLIVAR;A1;1;49
No Oficial;COLEGIO MIXTO CIUDADANOS DEL FUTURO;A1;1;52
No Oficial;COLEGIO MIXTO CIUDADANOS DEL FUTURO;A1;2;44
