SECTOR;SEDE_NOMBRE;agrupado;indicador;Valores
Oficial;AGUSTIN FERNANDEZ;PUNT_LECTURA_CRITICA;PUNT_LECTURA_CRITICA;49.32317073
Oficial;AGUSTIN FERNANDEZ;PUNT_MATEMATICAS;PUNT_MATEMATICAS;47.22560976
Oficial;AGUSTIN FERNANDEZ;PUNT_C_NATURALES;PUNT_C_NATURALES;51.13414634
Oficial;AGUSTIN FERNANDEZ;PUNT_SOCIALES_CIUDADANAS;PUNT_SOCIALES_CIUDADANAS;49.6402439
Oficial;AGUSTIN FERNANDEZ;PUNT_INGLES;PUNT_INGLES;47.68902439
Oficial;AGUSTIN FERNANDEZ;PUNT_GLOBAL;PUNT_GLOBAL;246.0365854
Oficial;AGUSTIN FERNANDEZ;ESTU_INSE_INDIVIDUAL;ESTU_INSE_INDIVIDUAL;50.03253543
Oficial;AGUSTIN NIETO CABALLERO;PUNT_LECTURA_CRITICA;PUNT_LECTURA_CRITICA;51.1
Oficial;AGUSTIN NIETO CABALLERO;PUNT_MATEMATICAS;PUNT_MATEMATICAS;47.6
Oficial;AGUSTIN NIETO CABALLERO;PUNT_C_NATURALES;PUNT_C_NATURALES;53.75
Oficial;AGUSTIN NIETO CABALLERO;PUNT_SOCIALES_CIUDADANAS;PUNT_SOCIALES_CIUDADANAS;50
Oficial;AGUSTIN NIETO CABALLERO;PUNT_INGLES;PUNT_INGLES;52.8
Oficial;AGUSTIN NIETO CABALLERO;PUNT_GLOBAL;PUNT_GLOBAL;253.8
Oficial;AGUSTIN NIETO CABALLERO;ESTU_INSE_INDIVIDUAL;ESTU_INSE_INDIVIDUAL;48.31456648
Oficial;ALEJANDRO OBREGON;PUNT_LECTURA_CRITICA;PUNT_LECTURA_CRITICA;54.47761194
Oficial;ALEJANDRO OBREGON;PUNT_MATEMATICAS;PUNT_MATEMATICAS;55.04477612
Oficial;ALEJANDRO OBREGON;PUNT_C_NATURALES;PUNT_C_NATURALES;55.89552239
Oficial;ALEJANDRO OBREGON;PUNT_SOCIALES_CIUDADANAS;PUNT_SOCIALES_CIUDADANAS;52.2238806
Oficial;ALEJANDRO OBREGON;PUNT_INGLES;PUNT_INGLES;55.48507463
Oficial;ALEJANDRO OBREGON;PUNT_GLOBAL;PUNT_GLOBAL;272.4552239
Oficial;ALEJANDRO OBREGON;ESTU_INSE_INDIVIDUAL;ESTU_INSE_INDIVIDUAL;53.7177668
Oficial;ALEMANIA;PUNT_LECTURA_CRITICA;PUNT_LECTURA_CRITICA;51.03225806
Oficial;ALEMANIA;PUNT_MATEMATICAS;PUNT_MATEMATICAS;51.41935484
Oficial;ALEMANIA;PUNT_C_NATURALES;PUNT_C_NATURALES;53.06451613
Oficial;ALEMANIA;PUNT_SOCIALES_CIUDADANAS;PUNT_SOCIALES_CIUDADANAS;49.22580645
Oficial;ALEMANIA;PUNT_INGLES;PUNT_INGLES;53.67741935
Oficial;ALEMANIA;PUNT_GLOBAL;PUNT_GLOBAL;256.9032258
Oficial;ALEMANIA;ESTU_INSE_INDIVIDUAL;ESTU_INSE_INDIVIDUAL;51.38927365
Oficial;ALFONSO REYES ECHANDIA;PUNT_LECTURA_CRITICA;PUNT_LECTURA_CRITICA;54.49710983
Oficial;ALFONSO REYES ECHANDIA;PUNT_MATEMATICAS;PUNT_MATEMATICAS;53.64739884
Oficial;ALFONSO REYES ECHANDIA;PUNT_C_NATURALES;PUNT_C_NATURALES;55.67630058
Oficial;ALFONSO REYES ECHANDIA;PUNT_SOCIALES_CIUDADANAS;PUNT_SOCIALES_CIUDADANAS;52.64739884
Oficial;ALFONSO REYES ECHANDIA;PUNT_INGLES;PUNT_INGLES;51.98265896
