SECTOR;SEDE_NOMBRE;D31;D40;D46;D31xpeso;D40xpeso;D46xpeso;Indicador_ecas;PUNT_GLOBAL;indicador_icfes;Indicador_rss11
No Oficial;CENTRO DE INTEGRACION EDUCATIVA DEL NORTE - C;0.4167;0.4250;0.3639;0.1389;0.1417;0.1213;0.4018;246.0366;0.4921;0.4470
No Oficial;CENTRO EDUCATIVO INTEGRAL COLSUBSIDIO CHICALA;0.4242;0.7227;0.4530;0.1413;0.2407;0.1509;0.5328;253.8000;0.5076;0.5202
No Oficial;CENTRO EDUCATIVO LOMBARDIA;0.4857;0.8486;0.4871;0.1617;0.2826;0.1622;0.6065;272.4552;0.5449;0.5757
No Oficial;CENTRO EDUCATIVO LOS ANDES;0.4630;0.8037;0.4815;0.1542;0.2676;0.1603;0.5821;256.9032;0.5138;0.5480
No Oficial;CENTRO EDUCATIVO SAN LUIS GONZAGA FE Y ALEGRIA;0.4750;0.8550;0.4900;0.1582;0.2847;0.1632;0.6061;269.7283;0.5395;0.5728
No Oficial;CENTRO MARIA AUXILIADORA;0.4143;0.6686;0.4400;0.1380;0.2226;0.1465;0.5071;244.3361;0.4887;0.4979
No Oficial;CHILDRENS VISION INTERNATIONAL INC - FUND COL;0.5000;0.9000;0.5000;0.1665;0.2997;0.1665;0.6327;261.6709;0.5233;0.5780
No Oficial;COL MARIA INMACULADA;0.4423;0.8308;0.4846;0.1473;0.2766;0.1614;0.5853;283.5476;0.5671;0.5762
No Oficial;COLEGIO AGUSTINIANO CIUDAD SALITRE;0.4571;0.8486;0.4886;0.1522;0.2826;0.1627;0.5975;284.5172;0.5690;0.5833
No Oficial;COLEGIO AGUSTINIANO TAGASTE;0.4250;0.8325;0.4825;0.1415;0.2772;0.1607;0.5794;275.6457;0.5513;0.5654
No Oficial;COLEGIO ALAFAS DEL NORTE;0.3583;0.6900;0.4400;0.1193;0.2298;0.1465;0.4956;230.5588;0.4611;0.4784
No Oficial;COLEGIO ANTONIO NARINO HH. CORAZONISTAS;0.4615;0.8769;0.4949;0.1537;0.2920;0.1648;0.6105;263.5351;0.5271;0.5688
No Oficial;COLEGIO BENPOSTA NACION DE MUCHACHOS;0.4286;0.7071;0.4429;0.1427;0.2355;0.1475;0.5257;254.9111;0.5098;0.5177
No Oficial;COLEGIO BILINGE NUEVA ALEJANDRIA;0.3333;0.8250;0.4833;0.1110;0.2747;0.1610;0.5467;273.8686;0.5477;0.5472
No Oficial;COLEGIO BILINGUE SAN JUAN DE AVILA;0.4000;0.5400;0.4200;0.1332;0.1798;0.1399;0.4529;263.3306;0.5267;0.4898
No Oficial;COLEGIO CAFAM;0.4550;0.7622;0.4658;0.1515;0.2538;0.1551;0.5604;255.1927;0.5104;0.5354
No Oficial;COLEGIO CAMPESTRE MAXIMINO POITIERS;0.4808;0.7442;0.4654;0.1601;0.2478;0.1550;0.5629;265.8609;0.5317;0.5473
No Oficial;COLEGIO CARLOS V;0.4545;0.6955;0.4409;0.1514;0.2316;0.1468;0.5298;268.1696;0.5363;0.5331
No Oficial;COLEGIO CIUDAD DE CALI;0.4559;0.6632;0.4382;0.1518;0.2209;0.1459;0.5186;277.4818;0.5550;0.5368
No Oficial;COLEGIO CLARETIANO;0.4339;0.6917;0.4471;0.1445;0.2303;0.1489;0.5237;258.9508;0.5179;0.5208
No Oficial;COLEGIO CLAUSTRO MODERNO;0.4545;0.7218;0.4600;0.1514;0.2404;0.1532;0.5449;276.9658;0.5539;0.5494
No Oficial;COLEGIO COFRATERNIDAD DE SAN FERNANDO;0.4844;0.5063;0.3875;0.1613;0.1686;0.1290;0.4589;291.2464;0.5825;0.5207
No Oficial;COLEGIO COLOMBO BOLIVIANO;0.3158;0.3789;0.3474;0.1052;0.1262;0.1157;0.3470;321.0806;0.6422;0.4946
No Oficial;COLEGIO COLOMBO INTERNACIONAL ACOINPREV;0.5000;0.7517;0.4690;0.1665;0.2503;0.1562;0.5730;290.2857;0.5806;0.5768
